"","bullet1","bullet2","rf.diff","rf.diff.med","rf.max","rf.maxbar","type","type_truth"
"61","Br1 2","Ukn M",0.0267333333333333,0.021,0.126,0.0436666666666667,"Ukn","KNM"
"62","Br1 2","Ukn Q",0.02688,0.018,0.2,0.0468,"Ukn","KNM"
"63","Br1 2","Ukn S",0.082,0.019,0.594,0.133666666666667,"Ukn","KNM"
"64","Br1 2","Ukn U",0.0594666666666667,0.018,0.466,0.091,"Ukn","KNM"
"65","Br1 2","Ukn X",0.0930666666666667,0.021,0.654,0.110666666666667,"Ukn","KNM"
"66","Br1 2","Ukn Y",0.0493333333333333,0.014,0.45,0.0883333333333333,"Ukn","KNM"
"67","Br1 2","Ukn Z",0.0806666666666667,0.009,0.59,0.119,"Ukn","KNM"
"68","Br10 1","Br10 2",0.798266666666667,0.978,1,0.830333333333333,"KM","KM"
"69","Br10 1","Br2 1",0.0244,0.02,0.134,0.0396666666666667,"KNM","KNM"
"70","Br10 1","Br2 2",0.0271333333333333,0.021,0.276,0.0603333333333333,"KNM","KNM"
"71","Br10 1","Br3 1",0.06392,0.03,0.328,0.0856,"KNM","KNM"
"72","Br10 1","Br3 2",0.0828,0.015,0.592,0.134333333333333,"KNM","KNM"
"73","Br10 1","Br4 1",0.0603333333333333,0.005,0.312,0.093,"KNM","KNM"
"74","Br10 1","Br4 2",0.0359333333333333,0.007,0.252,0.061,"KNM","KNM"
"75","Br10 1","Br5 1",0.0193333333333333,0.008,0.176,0.048,"KNM","KNM"
"76","Br10 1","Br5 2",0.0407333333333333,0.00700000000000001,0.41,0.094,"KNM","KNM"
"77","Br10 1","Br6 1",0.0343333333333333,0.02,0.2,0.0523333333333333,"KNM","KNM"
"78","Br10 1","Br6 2",0.05744,0.026,0.346,0.0844,"KNM","KNM"
"79","Br10 1","Br7 1",0.0771333333333333,0.025,0.506,0.114666666666667,"KNM","KNM"
"80","Br10 1","Br7 2",0.110133333333333,0.043,0.46,0.153333333333333,"KNM","KNM"
"81","Br10 1","Br8 1",0.0411333333333333,0.012,0.332,0.0646666666666667,"KNM","KNM"
"82","Br10 1","Br8 2",0.0502666666666667,0.02,0.34,0.0686666666666667,"KNM","KNM"
"83","Br10 1","Br9 1",0.0387333333333333,0.005,0.372,0.0736666666666667,"KNM","KNM"
"84","Br10 1","Br9 2",0.02648,0.002,0.196,0.046,"KNM","KNM"
"85","Br10 1","Ukn B",0.04344,0.04,0.254,0.0752,"Ukn","KNM"
"86","Br10 1","Ukn C",0.0868,0.023,0.486,0.142666666666667,"Ukn","KNM"
"87","Br10 1","Ukn D",0.103933333333333,0.016,0.434,0.131666666666667,"Ukn","KNM"
"88","Br10 1","Ukn E",0.0348666666666667,0.041,0.122,0.0533333333333333,"Ukn","KNM"
"89","Br10 1","Ukn F",0.1074,0.013,0.674,0.153,"Ukn","KNM"
"90","Br10 1","Ukn H",0.0146666666666667,0.013,0.122,0.036,"Ukn","KNM"
"91","Br10 1","Ukn J",0.135066666666667,0.017,0.544,0.169,"Ukn","KNM"
"92","Br10 1","Ukn L",0.0394,0.026,0.322,0.0656666666666667,"Ukn","KNM"
"93","Br10 1","Ukn M",0.00546666666666667,0.006,0.046,0.0176666666666667,"Ukn","KNM"
"94","Br10 1","Ukn Q",0.7208,0.928,0.986,0.7708,"Ukn","KM"
"95","Br10 1","Ukn S",0.0627333333333333,0.014,0.426,0.0876666666666667,"Ukn","KNM"
"96","Br10 1","Ukn U",0.0466,0.024,0.272,0.0693333333333333,"Ukn","KNM"
"97","Br10 1","Ukn X",0.0477333333333333,0.006,0.488,0.092,"Ukn","KNM"
"98","Br10 1","Ukn Y",0.0192,0.012,0.102,0.0343333333333333,"Ukn","KNM"
"99","Br10 1","Ukn Z",0.0755333333333333,0.016,0.598,0.113333333333333,"Ukn","KNM"
"100","Br10 2","Br2 1",0.0453333333333333,0.053,0.124,0.0596666666666667,"KNM","KNM"
"101","Br10 2","Br2 2",0.0354,0.013,0.208,0.0586666666666667,"KNM","KNM"
"102","Br10 2","Br3 1",0.06544,0.014,0.484,0.0992,"KNM","KNM"
"103","Br10 2","Br3 2",0.0464,0.016,0.316,0.0706666666666667,"KNM","KNM"
"104","Br10 2","Br4 1",0.0575333333333333,0.018,0.412,0.0883333333333333,"KNM","KNM"
"105","Br10 2","Br4 2",0.0286,0.021,0.326,0.064,"KNM","KNM"
"106","Br10 2","Br5 1",0.0177333333333333,0.029,0.194,0.0586666666666667,"KNM","KNM"
"107","Br10 2","Br5 2",0.0301333333333333,0.007,0.246,0.055,"KNM","KNM"
"108","Br10 2","Br6 1",0.0986666666666667,0.016,0.57,0.112666666666667,"KNM","KNM"
"109","Br10 2","Br6 2",0.03712,0.018,0.194,0.0548,"KNM","KNM"
"110","Br10 2","Br7 1",0.0714,0.113,0.262,0.114666666666667,"KNM","KNM"
"111","Br10 2","Br7 2",0.0705333333333333,0.05,0.426,0.112333333333333,"KNM","KNM"
"112","Br10 2","Br8 1",0.0626666666666667,0.007,0.532,0.0976666666666667,"KNM","KNM"
"113","Br10 2","Br8 2",0.0741333333333333,0.012,0.63,0.12,"KNM","KNM"
"114","Br10 2","Br9 1",0.0652,0.023,0.38,0.112,"KNM","KNM"
"115","Br10 2","Br9 2",0.04472,0.008,0.296,0.0792,"KNM","KNM"
"116","Br10 2","Ukn B",0.04848,0.01,0.408,0.0964,"Ukn","KNM"
"117","Br10 2","Ukn C",0.0998666666666667,0.069,0.492,0.14,"Ukn","KNM"
"118","Br10 2","Ukn D",0.0789333333333333,0.058,0.454,0.125,"Ukn","KNM"
"119","Br10 2","Ukn E",0.0378666666666667,0.031,0.174,0.0596666666666667,"Ukn","KNM"
"120","Br10 2","Ukn F",0.0569333333333333,0.036,0.534,0.122333333333333,"Ukn","KNM"
"121","Br10 2","Ukn H",0.0434,0.059,0.278,0.075,"Ukn","KNM"
"122","Br10 2","Ukn J",0.0354,0.017,0.274,0.0656666666666667,"Ukn","KNM"
"123","Br10 2","Ukn L",0.0544,0.092,0.644,0.112,"Ukn","KNM"
"124","Br10 2","Ukn M",0.0325333333333333,0.01,0.164,0.0503333333333333,"Ukn","KNM"
"125","Br10 2","Ukn Q",0.76064,0.976,1,0.7976,"Ukn","KM"
"126","Br10 2","Ukn S",0.0416,0.019,0.318,0.0723333333333333,"Ukn","KNM"
"127","Br10 2","Ukn U",0.0232666666666667,0.012,0.21,0.048,"Ukn","KNM"
"128","Br10 2","Ukn X",0.0601333333333333,0.03,0.49,0.0913333333333333,"Ukn","KNM"
"129","Br10 2","Ukn Y",0.105066666666667,0.014,0.576,0.122,"Ukn","KNM"
"130","Br10 2","Ukn Z",0.0764666666666667,0.074,0.512,0.119666666666667,"Ukn","KNM"
"131","Br2 1","Br2 2",0.876466666666667,0.921,0.998,0.905,"KM","KM"
"132","Br2 1","Br3 1",0.02328,0.022,0.212,0.0568,"KNM","KNM"
"133","Br2 1","Br3 2",0.068,0.013,0.418,0.0836666666666667,"KNM","KNM"
"134","Br2 1","Br4 1",0.0343333333333333,0.008,0.29,0.057,"KNM","KNM"
"135","Br2 1","Br4 2",0.0162666666666667,0.008,0.216,0.0413333333333333,"KNM","KNM"
"136","Br2 1","Br5 1",0.0637333333333333,0.031,0.534,0.100666666666667,"KNM","KNM"
"137","Br2 1","Br5 2",0.0382,0.019,0.232,0.0613333333333333,"KNM","KNM"
"138","Br2 1","Br6 1",0.0241333333333333,0.014,0.13,0.0353333333333333,"KNM","KNM"
"139","Br2 1","Br6 2",0.07472,0.006,0.442,0.0952,"KNM","KNM"
"140","Br2 1","Br7 1",0.126133333333333,0.006,0.668,0.142666666666667,"KNM","KNM"
"141","Br2 1","Br7 2",0.0318666666666667,0.013,0.216,0.0556666666666667,"KNM","KNM"
"142","Br2 1","Br8 1",0.0482666666666667,0.006,0.426,0.088,"KNM","KNM"
"143","Br2 1","Br8 2",0.0162,0.014,0.148,0.0363333333333333,"KNM","KNM"
"144","Br2 1","Br9 1",0.115133333333333,0.035,0.552,0.174333333333333,"KNM","KNM"
"145","Br2 1","Br9 2",0.10368,0.034,0.518,0.1276,"KNM","KNM"
"146","Br2 1","Ukn B",0.04296,0.01,0.288,0.0648,"Ukn","KNM"
"147","Br2 1","Ukn C",0.0362666666666667,0.019,0.248,0.0603333333333333,"Ukn","KNM"
"148","Br2 1","Ukn D",0.045,0.01,0.3,0.0623333333333333,"Ukn","KNM"
"149","Br2 1","Ukn E",0.0364666666666667,0.017,0.228,0.053,"Ukn","KNM"
"150","Br2 1","Ukn F",0.0698666666666667,0.029,0.276,0.094,"Ukn","KNM"
"151","Br2 1","Ukn H",0.886933333333333,0.961,0.998,0.922,"Ukn","KM"
"152","Br2 1","Ukn J",0.0349333333333333,0.015,0.184,0.0506666666666667,"Ukn","KNM"
"153","Br2 1","Ukn L",0.0321333333333333,0.008,0.196,0.0576666666666667,"Ukn","KNM"
"154","Br2 1","Ukn M",0.013,0.023,0.062,0.0296666666666667,"Ukn","KNM"
